"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BL20-0012","05/28/2020","BUSINESS LICENSE","","3010 W 72ND AVE","Goody's Eatery","","DHOR:200528032643901"
"BLDG19-7046","05/26/2020","RESIDENTIAL COUNTER","REROOF","9806 GARRISON WAY","tear off and replace asphalt s...","EXCEPTIONAL EXTERIORS LLC","ECON:191009093305588"
"BLDG20-0226","05/26/2020","RESIDENTIAL COUNTER","WATER REPAIR","9108 W 101ST AVE","40' long water line repair fro...","THE ELITE PIPE MD","ECON:200114014313996"
"BLDG20-0233","05/23/2020","RESIDENTIAL EXTERIOR","FENCE","5702 W 109TH AVE","Enclosing of the remainder of ...","David Brinkey","EPRS:200114035936304"
"BLDG20-0685","05/22/2020","RESIDENTIAL BUILDING","PLUMBING","6520 W 98TH CT","Gas Line","Pat's Plumbing","ECON:200206012214424"
"BL20-0009","05/21/2020","BUSINESS LICENSE","","14648 DELAWARE ST #100","Charm Thai Eatery","","DHOR:200521014645901"
"BL20-0010","05/21/2020","BUSINESS LICENSE","","9140 W 100TH AVE","RNA Dance, Building A, Unit 10","","DHOR:200521015330953"
"BL20-0011","05/21/2020","BUSINESS LICENSE","","9960 WADSWORTH PKWY","Lasagna L'Americaine LLC","","DHOR:200521020332041"
"BLDG19-8286","05/20/2020","RESIDENTIAL COUNTER","WATER HEATER","1036 LEXINGTON AVE","Replace like for like 40 gal 4...","MTECH MECHANICAL TECHNOLOGIES ...","ECON:191202031918093"
"BLDG20-0653","05/19/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12869 FOX CT","New residential construction.","Century Communities","ECON:200205114639268"
"BLDG19-7014","05/18/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","9587 GARLAND CT","25 Panels No Critter Guard rem...","PHOTON BROTHERS LLC","ECON:191008103330240"
"BLDG19-7021","05/09/2020","RESIDENTIAL EXTERIOR","ADDITION","7676 STUART ST","addition  to existing house 24...","THOMAS CATHERINE A AND THOMAS ...","ECON:191008115038328"
"BLDG20-0025","05/08/2020","RESIDENTIAL EXTERIOR","FENCE","9329 FLOWER CT","WESTMINSTER - FENCE","CUSTOM FENCE & SUPPLY INC","ECON:200102034731787"
"BLDG19-6286","05/06/2020","COMMERCIAL","BUILDING","14300 ORCHARD PKWY","St Anthony North Second Floor ...","SAUNDERS CONSTRUCTION INC","ECON:190916032002190"
"BLDG19-8498","05/01/2020","COMMERCIAL","BUILDING","9499 SHERIDAN BLVD","Walmart interior and ext remod...","Powerhouse Retail Services","ECON:191213014950875"
"BLDG19-4849","04/30/2020","COMMERCIAL","TENANT FINISH","5054 W 92ND AVE","TF for Denver Hospice North","AE EXTERIORS LLC","ECON:190808113536912"
"BLDG19-5071","04/27/2020","COMMERCIAL","ELECTRICAL","10111 Flower St","Electrical Pedestal for Irriga...","TRPOINTE HOMESic","ECON:190814110259556"
"BLDG19-5074","04/27/2020","COMMERCIAL","ELECTRICAL","9094 W 100th Way","Electrical Pedestal for Irriga...","TRIPOINTE HOMES - TINA","ECON:190814115722397"
"BLDG20-0227","04/24/2020","COMMERCIAL","TENANT FINISH","12245 PECOS ST #300","TF for Allstate Insurance Will...","PRADELL BUILDERS INC","ECON:200114015716156"
"BLDG20-0554","04/23/2020","COMMERCIAL","TENANT FINISH","7303 FEDERAL BLVD #300","TF for Tropical Smoothie Cafe ...","PRIME RETAIL SERVICES, INC","ECON:200130113313528"
"BLDG20-0609","04/23/2020","RESIDENTIAL COUNTER","WATER HEATER","6250 PROMENADE DR #439","replace like for like standard...","MASTER ROOTER PLUMBING LLC","ECON:200203040317071"
"BLDG19-7596","04/22/2020","COMMERCIAL NEW","NEW BUILDING","8980 WESTMINSTER BLVD","B4 Westminster Row Mixed Use 2...","SHAW CONSTRUCTION LLC","ECON:191028032621899"
"BLDG20-0430","04/18/2020","RESIDENTIAL EXTERIOR","FENCE","7130 UTICA ST","Front fence made of recycled m...","n/a","EPRS:200125090346342"
"BLDG19-5104","04/16/2020","RESIDENTIAL COUNTER","WATER HEATER","6880 W 91ST CT #1302","Install Water Heater","FRONTIER MECHANICAL INC","EPRS:190814032903261"
"BLDG20-0712","04/16/2020","RESIDENTIAL EXTERIOR","FENCE","4040 W 68TH AVE","Metal fence to HOA specificati...","HARRISON CUSTOM BUILDERS","ECON:200210094627501"
"BLDG19-6796","04/14/2020","COMMERCIAL","BUILDING","7425 XAVIER ST","Arbors Exterior Sign and monum...","ELEMENTS OF HOSPITALITY INC.","ECON:191001030538832"
"BLDG19-8727","04/14/2020","RESIDENTIAL EXTERIOR","FENCE","7546 EATON ST","Move W gated fence to garage, ...","David Taylor","EPRS:191230124907177"
"BLDG19-2114","04/11/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","4592 W 105TH WAY","Custom home reference previous...","GENNADIY PAVLOL","ECON:190421110653473"
"BLDG19-8418","04/08/2020","COMMERCIAL NEW","NEW BUILDING","11552 SHERIDAN BLVD","Core & Shell Medical Office Bu...","GOLDEN TRIANGLE CONSTRUCTION I...","ECON:191210032003334"
"BLDG20-0402","04/08/2020","COMMERCIAL","ELECTRICAL","10850 DOVER ST #500","Add conduit, wiring and breake...","INNOVATE ELECTRIC INC","ECON:200123125748072"
"BLDG18-2588","04/06/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","10733 OWENS CT","Remove and replace siding","LIFETIME WINDOWS & SIDING","ECON:180523123331573"
"BLDG19-4107","04/06/2020","COMMERCIAL","BUILDING","10040 WADSWORTH BLVD","Legends - Re purpose of existi...","BRYAN CONSTRUCTION INC","ECON:190718045104425"
"BLDG19-3099","04/03/2020","RESIDENTIAL COUNTER","WATER HEATER","12324 BANNOCK ST #14202","50 gallon water heater install...","MASTER ROOTER LLC","ECON:190605124648393"
"BLDG19-3102","04/03/2020","RESIDENTIAL COUNTER","WATER HEATER","481 W 123RD AVE #12106","50 gallon water heater install...","MASTER ROOTER LLC","ECON:190605124945514"
"BLDG19-3104","04/03/2020","RESIDENTIAL COUNTER","WATER HEATER","12300 BANNOCK ST #20101","50 gallon water heater install...","MASTER ROOTER LLC","ECON:190605125302632"
"BLDG19-3105","04/03/2020","RESIDENTIAL COUNTER","WATER HEATER","12324 BANNOCK ST #14207","50 gallon waster heater instal...","MASTER ROOTER LLC","ECON:190605125546713"
"BLDG19-4080","04/01/2020","COMMERCIAL","TENANT FINISH","7404 IRVING ST","Installation of new type I hoo...","COLORADO TECH GROUP LLC","ECON:190717080525102"
"BLDG19-7765","04/01/2020","RESIDENTIAL COUNTER","REROOF","9295 W 92ND AVE","Remove and replace roof with O...","EXCEL ROOFING","EPRS:191105081756180"
"BLDG20-0286","04/01/2020","COMMERCIAL","TENANT FINISH","7303 FEDERAL BLVD #500","TF  for Dunkin Donuts store wi...","HAYS CONSTRUCTION CO INC","ECON:200116015058494"
"BLDG20-0596","04/01/2020","RESIDENTIAL EXTERIOR","FENCE","10088 FLOWER ST","Install 61' of 3' iron & 43' o...","SPLIT RAIL FENCE CO","ECON:200203112538577"
"BLDG20-0602","04/01/2020","RESIDENTIAL EXTERIOR","FENCE","10080 FLOWER ST","Install 47' of 3' iron & 43' o...","SPLIT RAIL FENCE CO","ECON:200203014650055"
"BLDG19-3715","03/31/2020","COMMERCIAL NEW","NEW MULTI FAMILY","10050 WADSWORTH BLVD","The Legends - 205 MultiFamily ...","BRYAN CONSTRUCTION INC","ECON:190701044144642"
"BLDG19-8043","03/30/2020","COMMERCIAL","BUILDING","9675 W 108TH CIR","Ball - Remodel of an existing ...","JORDY & COMPANY","ECON:191115044343543"
"BLDG19-8197","03/30/2020","COMMERCIAL","BUILDING","9675 W 108TH CIR","AMC Expansion - Phase II","HENSEL PHELPS CONSTRUCTION CO.","ECON:191125091603708"
"BLDG20-0627","03/25/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","1305 W 133RD WAY","14 Panel, fixed roof-mounted 4...","AURIC ENERGY dba AURIC SOLAR","ECON:200204010535213"
"BLDG20-0630","03/25/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","13096 UMATILLA CT","27 panel, fixed roof-mounted, ...","AURIC ENERGY dba AURIC SOLAR","ECON:200204015719788"
"BLDG20-0378","03/24/2020","COMMERCIAL","TENANT FINISH","7827 W 108TH AVE #600","TF for Iptech 1 - will Req a C...","BK BUILDERS LLC","ECON:200122023602661"
"BLDG19-8199","03/23/2020","COMMERCIAL","BUILDING","9675 W 108TH CIR","AMC Expansion - Phase IIA High...","HENSEL PHELPS CONSTRUCTION CO.","ECON:191125092423818"
"BLDG20-0650","03/23/2020","COMMERCIAL","BUILDING","14300 ORCHARD PKWY","st. anthony north - telemetry ...","SAUNDERS CONSTRUCTION INC","ECON:200205095437392"
"BLDG20-0424","03/19/2020","COMMERCIAL","TENANT FINISH","11751 HURON ST #100","NEW 2756 S.F. SUITE INSIDE AN ...","A & B BUILDERS","ECON:200124041847477"
"BLDG19-8007","03/16/2020","COMMERCIAL","BUILDING","1885 W 120TH AVE #1300","2 Story Addition to the Existi...","PRADELL BUILDERS INC","ECON:191114112614401"
"BLDG19-8577","03/16/2020","RESIDENTIAL EXTERIOR","ADDITION","6290 W 111TH AVE","Add 880 sf Main Level with 168...","Keith Hall and Wendy Cameron","ECON:191217074859734"
"BLDG19-7155","03/14/2020","RESIDENTIAL BUILDING","ELECTRICAL","10079 ZENOBIA CT","Service Upgrade and new meter ...","BRE LLC","ECON:191013081720273"
"BLDG19-8085","03/14/2020","RESIDENTIAL COUNTER","WATER HEATER","7402 CHURCH RANCH BLVD #538","replace 40 gallon water heater","OCONNOR PLUMBING","ECON:191118015236933"
"BLDG19-8221","03/14/2020","RESIDENTIAL COUNTER","WATER HEATER","7402 CHURCH RANCH BLVD #611","replace 40 gallon water heater","OCONNOR PLUMBING","ECON:191125025936123"
"BLDG19-8417","03/14/2020","RESIDENTIAL COUNTER","WATER HEATER","7402 CHURCH RANCH BLVD #215","replace 40 gallon water heater","OCONNOR PLUMBING","ECON:191210024554152"
"BLDG19-8500","03/12/2020","COMMERCIAL","ELECTRICAL","9498 107th Pl","New service meter pedestal for...","WL CONTRACTORS INC","ECON:191213034740466"
"BLDG20-0488","03/12/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","9029 DOVER ST","13 panel, fixed roof-mounted, ...","AURIC ENERGY dba AURIC SOLAR","ECON:200128124803535"
"BLDG20-0527","03/12/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12849 FOX CT","New residential construction.","Century Communities","ECON:200129103548963"
"BLDG20-0571","03/12/2020","RESIDENTIAL COUNTER","WATER HEATER","6969 W 90TH AVE #1112","water heater replacement","EURO PLUMBING LLC","ECON:200131121158352"
"BLDG19-7830","03/09/2020","COMMERCIAL","BUILDING","7401 W 92ND AVE #1","Interior remodel to accomodate...","FACILITIES CONTRACTING INC","ECON:191106051446204"
"BLDG19-6109","03/06/2020","RESIDENTIAL COUNTER","REROOF","9292 W 100TH CIR","12.sq R&R","NEXGEN CONSTRUCTION","ECON:190911112241283"
"BLDG20-0259","03/05/2020","COMMERCIAL","TENANT FINISH","901 W 116TH AVE #100","TF for Green Acres Granite wil...","A & B BUILDERS","ECON:200115030808341"
"BLDG20-0652","03/05/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12868 FOX CT","New residential construction.","Century Communities","ECON:200205114024182"
"BLDG20-0567","03/04/2020","COMMERCIAL","TENANT FINISH","10170 CHURCH RANCH WAY #320","TF ABS Suite 320 no change in ...","SNIPES CONSTRUCTION","ECON:200130041227194"
"BLDG20-0660","03/04/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","8833 MEADE ST","Berkeley Homes - Skyline - Pla...","Berkeley Homes -","ECON:200205022755709"
"BLDG20-0661","03/04/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","8831 MEADE ST","Berkeley Homes - Skyline - Pla...","BH Skyline dba Berkeley Homes","ECON:200205023646864"
"BLDG20-0677","03/04/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","8841 MEADE ST","Berkeley Homes - Skyline - Pla...","Berkeley Homes - Jason Blomqui...","ECON:200206103950045"
"BLDG20-0678","03/04/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","8843 MEADE ST","Berkeley Homes - Skyline - Pla...","Berkeley Homes - Jason Blomqui...","ECON:200206104734180"
"BLDG19-8451","03/03/2020","RESIDENTIAL EXTERIOR","GARAGE","7410 QUITMAN WAY","Detached Garage","AMERICAN RESTORATION INC","EPRS:191212072239259"
"BLDG19-8213","03/02/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","1260 HUNTINGTON TRAILS PKWY","New single family detached res...","COENEN HOMES LLC","ECON:191125125459289"
"BLDG20-0138","03/02/2020","COMMERCIAL SIGN","SIGN","1197 W 120TH AVE","remove all existing signs and ...","COLORADO SIGN HELPERS","ECON:200108075303011"
"BLDG20-0550","03/02/2020","COMMERCIAL","TENANT FINISH","10170 CHURCH RANCH WAY #310","TF for Caliper Suite 310","SNIPES CONSTRUCTION","ECON:200130100329488"
"BLDG20-0704","03/01/2020","RESIDENTIAL EXTERIOR","DECK","12964 VALLEJO CIR","REPLACE EXISTING DECKS","TITO TRUJILLIO","EPRS:200209053409636"
"BLDG20-0534","02/29/2020","COMMERCIAL","ELECTRICAL","799 W 146TH AVE","Relocate and add outlets for k...","CONBOY & MANNION CONTRACTING I...","ECON:200129010447604"
"BLDG19-5519","02/27/2020","COMMERCIAL NEW","NEW MULTI FAMILY","1585 W 115TH AVE BLDG E","Westbury Apts rebuild 3 story ...","W. E. O'Neil Construction Comp...","ECON:190826093705658"
"BLDG20-0283","02/26/2020","COMMERCIAL","BUILDING","10355 WESTMOOR DR #101","Access Control for Tax Guard I...","KEY-RITE SECURITY","ECON:200116125713113"
"BLDG20-0379","02/26/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","10121 FLOWER ST","NSFD- 2 Story, 9'full unfinish...","TRIPOINTE HOMES","ECON:200122025121824"
"BLDG20-0530","02/26/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12859 FOX CT","New residential construction.","Century Communities","ECON:200129104248169"
"BLDG20-0531","02/26/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12858 FOX CT","New residential construction.","Century Communities","ECON:200129105212315"
"BLDG20-0703","02/26/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","7936 W 90TH AVE","Separation of spaces: laundry ...","Celina Hernandez","EPRS:200208062652481"
"BLDG19-0220","02/25/2020","RESIDENTIAL COUNTER","REROOF","11837 QUITMAN ST","Applicant mistakenly applied t...","FORMULA ROOFING AND REMODELING","ECON:190114020945605"
"BLDG19-5757","02/25/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","11626 SHOSHONE WAY","Interior non-structural work: ...","FALLOWS COLTON TROY Homeowner","EPRS:190830033652153"
"BLDG19-8238","02/25/2020","RESIDENTIAL BUILDING","ELECTRICAL","5820 W 110TH PL","6.205 kW Rooftop flush mounted...","ECOMARK SALES INC","ECON:191127072828241"
"BLDG20-0073","02/25/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","10867 LEGACY RIDGE WAY","bathroom and partial basement ...","BRENT PETTERSEN","ECON:200106014327778"
"BLDG20-0503","02/25/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","9042 W 100TH WAY","NSFD- 2Story , 8' full unfinis...","TRIPOINTE HOMES- Tom Dorris","ECON:200128041317886"
"BLDG19-0198","02/24/2020","RESIDENTIAL EXTERIOR","PATIO COVER OR CARPORT","1460 LEXINGTON AVE","front porch addition","COLORADO FINISHING LLC","EPRS:190111125914543"
"BLDG19-7437","02/24/2020","RESIDENTIAL COUNTER","WATER HEATER","1410 W 116TH AVE #18","Water Heater","OCEAN FRONT CORP","ECON:191022060633054"
"BLDG19-7439","02/24/2020","RESIDENTIAL COUNTER","WATER HEATER","1430 W 116TH AVE #25","Water Heater","OCEAN FRONT CORP","ECON:191022060822103"
"BLDG19-7639","02/24/2020","COMMERCIAL","TENANT FINISH","9320 SHERIDAN BLVD #200","TF for Five Below no change in...","MAXWELL BUILDERS INC","ECON:191030095631125"
"BLDG19-8568","02/24/2020","RESIDENTIAL EXTERIOR","DECK","8943 CODY CT","Covered Deck","MOONSTONE CONSTRUCTION & DEVEL...","ECON:191217020618540"
"BLDG20-0572","02/24/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","3675 W 94TH AVE","Install 19 sq vinyl siding, so...","POWER HOME REMODELING GROUP","ECON:200131054543129"
"BLDG20-0656","02/24/2020","COMMERCIAL SIGN","BANNER SIGN","3015 W 74TH AVE #A","LED CHANNEL LETTERS ON RACEWAY","KOKIS INC DBA CORE SIGNS","ECON:200205124236671"
"BLDG20-0551","02/22/2020","RESIDENTIAL COUNTER","TANKLESS WATER HEATER","3520 WESTMINSTER PL","Tankless Water Heater","Jennifer Houghton","EPRS:200130100956580"
"BLDG20-0207","02/21/2020","COMMERCIAL SIGN","SIGN","11225 DECATUR ST #100","Channel letter signs for Viral...","Front Range Sign Company","ECON:200113045028472"
"BLDG20-0713","02/21/2020","RESIDENTIAL COUNTER","SEWER REPAIR","3400 W 80TH AVE","Repair 35' section on property","CBS TRUCKING & EXCAVATING INC","ECON:200210095527618"
"BLDG20-0558","02/20/2020","RESIDENTIAL EXTERIOR","FENCE","12914 ELATI ST","install 95ft of 6ft tall priva...","EAGLE FENCE LLC","ECON:200130123345092"
"BLDG20-0714","02/20/2020","RESIDENTIAL COUNTER","SEWER REPAIR","3308 W 73RD AVE","Repair 35' section on property","CBS TRUCKING & EXCAVATING INC","ECON:200210095718657"
"BLDG20-0257","02/19/2020","COMMERCIAL","ELECTRICAL","9343 W 108TH CIR","Ball -Install breaker, pipe & ...","KENNY ELECTRIC SERVICE","ECON:200115030357214"
"BLDG20-0702","02/19/2020","COMMERCIAL","BUILDING","10155 WESTMOOR DR #200","Ball Westmoor 3 ETAC Office ad...","BW ELECTRIC INC dba BW Electri...","ECON:200207033437952"
"BL20-0006","02/18/2020","BUSINESS LICENSE","","3200 W 71ST AVE #15","Rather Unique LLC","","DHOR:200218090040843"
"BL20-0007","02/18/2020","BUSINESS LICENSE","","9960 WADSWORTH PKWY","Tlaquesalsa LLC","","DHOR:200218090452871"
"BL20-0008","02/18/2020","BUSINESS LICENSE","","1181 W 120TH AVE #100","Mugi Ramen & Poke","","DHOR:200218090920889"
"BLDG20-0134","02/18/2020","COMMERCIAL SIGN","SIGN","200 W 136TH AVE","No Banners included Changing o...","BUD'S SIGNS","ECON:200108033057008"
"BLDG20-0213","02/18/2020","COMMERCIAL","BUILDING","9101 HARLAN ST","Modify existing wireless telec...","BLACK INDUSTRIES LLC","ECON:200114090455820"
"BLDG20-0373","02/18/2020","COMMERCIAL","BUILDING","10955 WESTMOOR DR BLDG 7","New access control system at t...","BW ELECTRIC INC dba BW Electri...","ECON:200122013757833"
"BLDG20-0474","02/18/2020","COMMERCIAL SIGN","SIGN","13559 HURON ST","3 Internally illuminated wall ...","YESCO LLC","ECON:200128112643660"
"BLDG20-0475","02/18/2020","COMMERCIAL","BUILDING","13559 HURON ST","Horizons No CU Ground sign w f...","YESCO LLC","ECON:200128113201771"
"BLDG20-0499","02/18/2020","RESIDENTIAL COUNTER","WATER HEATER","6969 W 90TH AVE #926","Remove and replace water heate...","UNITED PLUMBING SERVICES COMPA...","ECON:200128031041046"
"BLDG20-0576","02/18/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","11776 OSCEOLA ST","Removal & Reinstallation of ro...","JMB Renewables LLC","ECON:200131091642997"
"BLDG20-0577","02/18/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","9605 CARR ST","Removal & Reinstallation of ro...","JMB Renewables LLC","ECON:200131092816208"
"BLDG20-0718","02/18/2020","RESIDENTIAL COUNTER","REROOF","10511 HOLLAND ST","Re-Roof, complete tear off.","URBAN EXTERIORS","ECON:200210123036133"
"BLDG19-8450","02/17/2020","COMMERCIAL SIGN","SIGN","4257 MAIN ST #100","Channel letters on back wall(3...","KEITH HAWKS SIGNS INC","ECON:191212070042890"
"BLDG20-0680","02/17/2020","RESIDENTIAL BUILDING","ELECTRICAL","9478 FLOWER ST","Electrical Service Change 200 ...","HAPPY ELECTRIC LLC","ECON:200206122718937"
"BLDG20-0041","02/14/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","2714 W 119TH AVE","Installation of a 6.66kW Rooft...","NAMASTE SOLAR ELECTRIC dba ACC...","ECON:200103120423164"
"BLDG20-0042","02/14/2020","RESIDENTIAL BUILDING","ELECTRICAL","2714 W 119TH AVE","200A Main Service Upgrade","NAMASTE SOLAR ELECTRIC dba ACC...","ECON:200103120559199"
"BLDG19-8748","02/13/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12829 FOX CT","New residential construction.","Century Communities","ECON:191231030057938"
"BLDG20-0376","02/13/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","10117 FLOWER ST","NSFD- 2 Story, 9'full unfinish...","TRIPOINTE HOMES-","ECON:200122023023550"
"BLDG20-0724","02/13/2020","RESIDENTIAL EXTERIOR","DECK","5731 W 92ND AVE #148","Replace Deck, Concrete Slab","BRAVE BEAR CUSTOM BUILDERS LLC","ECON:200210014121977"
"BLDG20-0726","02/13/2020","RESIDENTIAL BUILDING","BUILDING","7675 OSCEOLA ST","2 main beam replacements and 8...","PEAK STRUCTURAL","ECON:200210022546554"
"BLDG19-5638","02/12/2020","COMMERCIAL","BUILDING","3031 W 74TH AVE","Cell tower tenant addition for...","PLAINS CONTRACTING LLC","ECON:190828113104956"
"BLDG20-0613","02/12/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","7040 VRAIN ST","Doing stucco over existing sid...","Oleg's stucco","EPRS:200203085615756"
"BLDG20-0623","02/12/2020","COMMERCIAL SIGN","SIGN","905 W 124TH AVE #130","Aluminum Stud Mounted Letters","SIGNS BY TOMORROW - WESTMINSTE...","EPRS:200204120814723"
"BLDG20-0692","02/12/2020","RESIDENTIAL COUNTER","WATER HEATER","9359 W 100TH CIR","ONE WATER HEATER REPLACEMENT 4...","PROSPECT PLUMBING LLC","ECON:200207105453529"
"BLDG20-0701","02/12/2020","RESIDENTIAL COUNTER","WATER HEATER","6885 W 91ST CT #24305","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200207032209872"
"BLDG19-8695","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","12304 BANNOCK ST #19205","replace 50 gallon water heater...","Lakewood Plumbing Inc","ECON:191227083529859"
"BLDG20-0108","02/11/2020","COMMERCIAL SIGN","SIGN","2751 W 120TH AVE #200","Light Box Electrical Wall Sign","BEST SIGN WORKS LLC","ECON:200107055401648"
"BLDG20-0540","02/11/2020","COMMERCIAL","BUILDING","10355 WESTMOOR DR BLDG 4","Westmoor corridor expansion","SAND CONSTRUCTION CO - Michael...","ECON:200129051506319"
"BLDG20-0547","02/11/2020","RESIDENTIAL COUNTER","REROOF","11664 NEWTON ST","Re-roof 29 squares with Owens ...","SAVAGE CONSTRUCTION","ECON:200130091628845"
"BLDG20-0555","02/11/2020","COMMERCIAL SIGN","SIGN","14452 ORCHARD PKWY #500","(2) illuminated wall signs and...","COLORADO LIGHTING INC","ECON:200130120016726"
"BLDG20-0556","02/11/2020","COMMERCIAL SIGN","SIGN","14452 ORCHARD PKWY #500","Illuminated blade","COLORADO LIGHTING INC","ECON:200130120803782"
"BLDG20-0586","02/11/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","11369 NAVAJO CIR #B","Installing replacement Furnace...","PRECISION PLUMBING & HEATING I...","ECON:200131015553808"
"BLDG20-0587","02/11/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","9331 IRVING ST","Full Cosmetic update and basem...","BRENT PETTERSEN","EPRS:200131023517026"
"BLDG20-0657","02/11/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","11351 KENDALL ST","replace 10 SQ siding with viny...","K & H WINDOWS & EXTERIORS","ECON:200205015421317"
"BLDG20-0694","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","3279 W 102ND CIR","Replacing 50 gallon gas water ...","Tyco Plumbing Corp - Tyler Cou...","ECON:200207010356245"
"BLDG20-0699","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","8290 FEDERAL BLVD #213","Replaced existing failed 40 ga...","BROOMHALL BROTHERS","ECON:200207030232695"
"BLDG20-0700","02/11/2020","RESIDENTIAL COUNTER","REROOF","10436 INDEPENDENCE CIR","GAF in Timberline Natural Shad...","EXPERT EXTERIORS LLC","ECON:200207030933769"
"BLDG20-0706","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #938","Replace water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200210083536734"
"BLDG20-0707","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #1534","Replace water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200210084604852"
"BLDG20-0708","02/11/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7695 QUITMAN ST","Excavate and repair sewer serv...","Professional Sewer Excavation,...","ECON:200210084627871"
"BLDG20-0709","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #1613","Replace water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200210085232956"
"BLDG20-0715","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","13513 TEJON ST","Installing replacement Water H...","PRECISION PLUMBING & HEATING I...","ECON:200210101017759"
"BLDG20-0717","02/11/2020","RESIDENTIAL COUNTER","REROOF","10434 OWENS CIR","R&R Shingles w GAF Timberline ...","EXPERT EXTERIORS LLC","ECON:200210122312015"
"BLDG20-0720","02/11/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10380 NEWCOMBE ST","install replacements","COOPER HEATING & COOLING INC","ECON:200210010308374"
"BLDG20-0721","02/11/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2692 W 81ST AVE","Replace furnace ac with 80000 ...","Fix-It 247 Home sevices","ECON:200210011136500"
"BLDG20-0722","02/11/2020","RESIDENTIAL COUNTER","FURNACE","6241 W 111TH AVE","install replacement","COOPER HEATING & COOLING INC","ECON:200210012449642"
"BLDG20-0723","02/11/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7991 W 94TH PL","install replacements","COOPER HEATING & COOLING INC","ECON:200210012841717"
"BLDG20-0725","02/11/2020","RESIDENTIAL COUNTER","WATER HEATER","13201 TEJON ST","Water heater replacement","DONE SERVICE GROUP INC","ECON:200210015533149"
"BLDG20-0727","02/11/2020","COMMERCIAL","BUILDING","11025 DOVER ST #1600","Water Heater Replacement","BLUE MOUNTAIN PLUMBING HEATING...","ECON:200210043852812"
"BLDG20-0404","02/10/2020","RESIDENTIAL EXTERIOR","DECK","13586 WYANDOT ST","Replace existing deck","BURGESSHILL CONSTRUCTION","ECON:200123012241306"
"BLDG20-0566","02/10/2020","RESIDENTIAL COUNTER","REROOF","9704 IRIS ST","Replace roof on main structure...","HOMEGUARD RESTORATION","ECON:200130034921971"
"BLDG20-0585","02/10/2020","COMMERCIAL","ELECTRICAL","11245 HURON ST","Run power to a newly installed...","KMG ELECTRIC INC","ECON:200131013706688"
"BLDG20-0610","02/10/2020","COMMERCIAL","BUILDING","7450 FEDERAL BLVD","Kum n Go - add electric strike","ADT LLC","ECON:200203041032134"
"BLDG20-0611","02/10/2020","RESIDENTIAL EXTERIOR","DECK","11085 TROJAN CT","Replace existing upper level d...","DENVER DECKS LLC","ECON:200203044835308"
