"Permit.Number","Applied","Approved","Issued.Date","Finaled","Expired","Permit.Type","Permit.Sub.Type","Status","Subdivision","Address","Description","Job.Value","CO.Issued.Date","Contractor.Name","RECORDID"
"CMIS22-00088","05/23/2022","05/23/2022","05/23/2022","","11/19/2022","COMMMISC","PLUMBING","EXPIRED","WESTDALE TOWNHOMES","7999 CHASE CIR 32","WATER HEATER 40 GAL LIKE FOR L...",1819.01,"","STEADFAST PLUMBING INC","DRO:2205230350222025"
"CMIS22-00087","05/19/2022","05/19/2022","05/19/2022","","11/15/2022","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7845 ALLISON WAY 107","REPLACE A/C, FURNACE AND EVAP ...",5500,"","COPPER MECHANICAL LLC","AH:2205191126040797"
"CMIS22-00086","05/18/2022","05/18/2022","05/18/2022","","11/14/2022","COMMMISC","PLUMBING","EXPIRED","THE YACHT CLUB","4882 W 68TH AVE 3","REPLACE 40 GAL WATER HEATER",1721.71,"","STEADFAST PLUMBING INC","AH:2205180218020846"
"CMIS22-00084","05/12/2022","05/12/2022","05/18/2022","","12/10/2022","COMMMISC","MECHANICAL","EXPIRED","SKYLINE ESTATES FILING NO. 1 -...","10290 W 55TH LN 105","AC 14 SEER 2.5 TON ",12223,"","BLUE SKY PLUMBING/HTG","DRO:2205120913160220"
"CMIS22-00085","05/12/2022","05/12/2022","05/13/2022","","04/26/2023","COMMMISC","MECHANICAL","EXPIRED","SPRINGWOOD-NIGHTINGALE MINOR S...","6550 YANK WAY","REPLACE FURANCE 40K BTU 80% AN...",11211,"","BLUE SKY PLUMBING/HTG","DRO:2205120350111166"
"CMIS22-00082","05/09/2022","08/26/2022","08/29/2022","","11/04/2023","COMMMISC","MECHANICAL","ISSUED","EAGLE SUBDIVISION AMENDMENT NO...","5324 WADSWORTH BLVD A","REPLACE EXISTING HOOD WITH LAR...",82000,"","ALL GREEN CONSTRUCTION LLC","DRO:2205091038250382"
"CMIS22-00083","05/09/2022","05/11/2022","05/16/2022","","11/12/2022","COMMMISC","MECHANICAL","EXPIRED","LAKE ARBOR FAIRWAYS","6845 W 84TH CIR","Install gas line from gas mete...",2145,"","THE GAS CONNECTION INC","AH:2205090142420863"
"CMIS22-00079","05/05/2022","05/05/2022","05/09/2022","05/13/2022","","COMMMISC","MECHANICAL","FINALED","THE YACHT CLUB","6860 XAVIER CIR 12","REPLACE AC 2TON AND FURNACE 50...",8900,"","SOXBURY HEATING & COOLING LLC","DRO:2205050120451059"
"CMIS22-00078","05/04/2022","05/04/2022","05/04/2022","","10/31/2022","COMMMISC","PLUMBING","EXPIRED","RESIDENCES AT OLDE TOWN SQUARE...","8123 W 51ST PL 204","REPLACE 40 GAL GAS WATER HEATE...",2124.99,"","STEADFAST PLUMBING INC","AH:2205040445341638"
"CMIS22-00076","05/02/2022","05/02/2022","05/02/2022","06/07/2022","","COMMMISC","PLUMBING","FINALED","VILLAGE OF FIVE PARKS FILING N...","14197 W 84TH CIR B","REPLACE 40 GAL 40K BTU WATER H...",3974,"","APPLEWOOD PLMB, HTG & ELEC","AH:2205021135240816"
"CMIS22-00075","04/29/2022","04/29/2022","04/29/2022","","10/26/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA WATER TOWER DISTRICT FI...","7707 W 54TH AVE 113","REPLACE WATER HEATER 50 GAL 60...",900,"","MASTER ROOTER PLUMBING LLC","DRO:2204290310011023"
"CMIS22-00073","04/28/2022","04/28/2022","04/29/2022","","10/26/2022","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7815 ALLISON WAY 101","REPLACE GAS WATER HEATER - 30 ...",900,"","MASTER ROOTER PLUMBING LLC","AH:2204280421071217"
"CMIS22-00074","04/28/2022","04/28/2022","04/29/2022","","10/26/2022","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7809 ALLISON WAY 207","REPLACE GAS WATER HEATER - 30 ...",900,"","MASTER ROOTER PLUMBING LLC","AH:2204280423551253"
"CMIS22-00069","04/22/2022","04/22/2022","04/27/2022","","10/24/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 201","REPLACE 50 GAL 65K BTU GAS WAT...",6620,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2204220107140799"
"CMIS22-00070","04/22/2022","04/22/2022","04/27/2022","","10/24/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 101","REPLACE 50 GAL 65K BTU GAS WAT...",4820,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2204220113130855"
"CMIS22-00068","04/21/2022","04/21/2022","04/22/2022","05/09/2022","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","8773 CHASE DR 202","FURNACE 60K BTU 80%",6040,"","BROTHERS PLUMBING & HEATING IN...","DRO:2204210402051646"
"CMIS22-00065","04/19/2022","04/28/2022","05/02/2022","05/03/2022","","COMMMISC","MECHANICAL","FINALED","COTTONWOOD PARK IN RALSTON VAL...","6893 JOYCE ST","Replacement of 2 - 3 and 4 ton...",11500,"","ROCKY MOUNTAIN MECHANICAL AND ...","ECON:220419042242095"
"CMIS22-00063","04/15/2022","04/15/2022","04/20/2022","","11/07/2022","COMMMISC","MECHANICAL","EXPIRED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 311","REPLACE AC 2.5 TON 13 SEER",6000,"","NORTHGLENN HEATING & A/C","DRO:2204151040340560"
"CMIS22-00062","04/14/2022","04/14/2022","04/15/2022","","10/12/2022","COMMMISC","MECHANICAL","EXPIRED","ARVADA RENTALS SUBDIVISION","10675 RALSTON RD","REPLACE FURNACE 90K BTU 80% EF...",13811,"","STEELE BROS HEATING INC","DRO:2204140418121201"
"CMIS22-00058","04/04/2022","04/04/2022","04/04/2022","","11/06/2022","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","6935 W 87TH WAY 297","FURNACE 40K, 80%, A/C 1.5 TON",8200,"","MY GUY HEATING AND AIR LLC","AH:2204040315481580"
"CMIS22-00057","04/01/2022","04/01/2022","05/10/2022","06/01/2022","","COMMMISC","PLUMBING","FINALED","THE OAKS CONDOMINIUMS","8467 EVERETT WAY B","REPLACE 40 GAL WATER HEATER",1500,"","SCHLAG PLUMBING","DRO:2204010245280217"
"CMIS22-00056","03/30/2022","03/30/2022","03/30/2022","","09/27/2022","COMMMISC","PLUMBING","EXPIRED","OBERON HOUSE MINOR SUBDIVISION","9160 W 64TH AVE","replace gas line by hand from ...",2380,"","AAARK HEATING & AIR INC","DRO:2203300841270227"
"CMIS22-00054","03/29/2022","03/29/2022","03/30/2022","","09/26/2022","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7801 ALLISON WAY 104","REPLACE 40 GAL 36K BTU GAS WAT...",900,"","MASTER ROOTER PLUMBING LLC","DRO:2203291116040875"
"CMIS22-00052","03/28/2022","03/28/2022","03/29/2022","04/14/2022","","COMMMISC","MECHANICAL","FINALED","","6980 PIERCE ST","REMOVE AND REPLACE 200K BTU FU...",15000,"","PLUMB PROS INC","DRO:2203280912060339"
"CMIS22-00053","03/28/2022","03/28/2022","03/29/2022","04/05/2022","","COMMMISC","PLUMBING","FINALED","WESTDALE TOWNHOMES","7924 CHASE CIR 131","REPLACE 40 GAL GAS WATER HEATE...",1680.49,"","STEADFAST PLUMBING INC","DRO:2203280514362190"
"CMIS22-00050","03/25/2022","03/25/2022","03/28/2022","","09/24/2022","COMMMISC","PLUMBING","EXPIRED","REPLAT OF LAKE ARBOR VILLAGE A...","5550 W 80TH PL 9","WATER HEATER REPLACEMENT 38 GA...",3403,"","PRECISION PLUMBING & HEATING I...","AH:2203251000130346"
"CMIS22-00049","03/24/2022","03/24/2022","03/24/2022","05/06/2022","","COMMMISC","PLUMBING","FINALED","BOYD PONDS","16280 W 64TH AVE","REPLACE WATER HEATER - 50 GAL,...",4900,"","MTECH MECHANICAL TECHNOLOGIES ...","AH:2203241150520692"
"CMIS22-00047","03/18/2022","03/18/2022","03/18/2022","","09/14/2022","COMMMISC","PLUMBING","EXPIRED","REPLATE OF FINAL PLAT OF ARVAD...","6007 YARROW ST A","",1850,"","PIPE X LLC","AH:2203180431301224"
"CMIS22-00048","03/18/2022","03/18/2022","03/18/2022","","09/14/2022","COMMMISC","PLUMBING","EXPIRED","REPLATE OF FINAL PLAT OF ARVAD...","6007 YARROW ST B","Interior Sewer repair",1850,"","PIPE X LLC","AH:2203180441091270"
"CMIS22-00043","03/16/2022","03/16/2022","03/16/2022","","09/12/2022","COMMMISC","PLUMBING","EXPIRED","RALSTON VALLEY GARDENS NO 3","10312 W 59TH AVE 2","REPLACE 40 GAL GAS WATER HEATE...",1967.12,"","STEADFAST PLUMBING INC","DRO:2203160157330914"
"CMIS22-00044","03/16/2022","03/16/2022","03/16/2022","03/23/2022","","COMMMISC","PLUMBING","FINALED","REPLAT OF LAKE ARBOR VILLAGE A...","8124 GRAY CT 498","REPLACE 38 GAL WATER HEATER",2500,"","INTEGRATED PLUMBING SYSTEMS","AH:2203160335431257"
"CMIS22-00041","03/14/2022","03/14/2022","03/14/2022","","09/24/2022","COMMMISC","PLUMBING","EXPIRED","THE GRACE PLACE","6380 OAK ST 102","REPLACE 40 GAL WATER HEATER",1930.49,"","STEADFAST PLUMBING INC","AH:2203140453291915"
"CMIS22-00039","03/11/2022","03/11/2022","03/11/2022","03/17/2022","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","8788 CHASE DR 17","INSTALL 80% 70K BTU FURNACE RE...",6547,"","COOPER HEATING & COOLING INC","AH:2203110923330291"
"CMIS22-00040","03/11/2022","03/11/2022","03/14/2022","","09/10/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10387 W 52ND PL 306","REPLACE 48 GAL 65K BTU WATER H...",2156,"","QUALITY 1ST PLUMBING HEATING A...","AH:2203110449031329"
"CMIS22-00036","03/10/2022","03/10/2022","03/10/2022","","09/06/2022","COMMMISC","PLUMBING","EXPIRED","WESTDALE TOWNHOMES PHASE 2","7972 CHASE CIR 83","REPLACE 40 GAL WATER HEATER",2028.96,"","STEADFAST PLUMBING INC","AH:2203101035420452"
"CMIS22-00037","03/10/2022","03/10/2022","03/10/2022","03/21/2022","","COMMMISC","PLUMBING","FINALED","AUTUMNWOOD TOWNHOMES 2nd AMEND...","12934 W 64TH DR C","REPLACE 40 GAL WATER HEATER",1967.12,"","STEADFAST PLUMBING INC","AH:2203101046230519"
"CMIS22-00038","03/10/2022","03/10/2022","03/10/2022","","09/21/2022","COMMMISC","PLUMBING","EXPIRED","REPLATE OF FINAL PLAT OF ARVAD...","6007 YARROW ST J","REPLACE 50 GAL WITH BASIC ELEC",6309,"","APPLEWOOD PLMB, HTG & ELEC","AH:2203101050050569"
"CMIS22-00035","03/03/2022","03/03/2022","03/03/2022","03/11/2022","","COMMMISC","PLUMBING","FINALED","THE YACHT CLUB","6891 XAVIER CIR 4","REPLACE 40 GAL WATER HEATER",1815.12,"","STEADFAST PLUMBING INC","DRO:2203030451021242"
"CMIS22-00032","03/02/2022","03/02/2022","03/02/2022","","08/29/2022","COMMMISC","MECHANICAL","EXPIRED","","10795 RALSTON RD 108","40K FURNACE REPLACEMENT",2400,"","COPPER MECHANICAL LLC","AH:2203020818320173"
"CMIS22-00033","03/02/2022","03/02/2022","03/03/2022","","08/30/2022","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7899 ALLISON WAY 103","40 GAL 40K BTU WATER HEATER RE...",4027,"","APPLEWOOD PLMB, HTG & ELEC","AH:2203020153271522"
"CMIS22-00025","02/18/2022","02/18/2022","02/18/2022","03/09/2022","","COMMMISC","MECHANICAL","FINALED","MAPLELEAF SUBDIVISION FILING N...","7150 SIMMS ST 104","FURANCE 60K BTU 98% EFF",5950,"","LAKESIDE HEATING & A/C INC","DRO:2202181203170559"
"CMIS22-00024","02/16/2022","02/16/2022","02/17/2022","","08/16/2022","COMMMISC","MECHANICAL","EXPIRED","ASPEN BUSINESS PARK","5350 VIVIAN ST","REPLACE ROOFTOP UNIT, 120K BTU...",18297,"","BLUE SKY PLUMBING/HTG","AH:2202160400061599"
"CMIS22-00023","02/15/2022","02/15/2022","02/16/2022","02/22/2022","","COMMMISC","MECHANICAL","FINALED","CONDOMINIUM MAP FOR TIMBERCOVE...","8477 EVERETT WAY B","80,000 BTU, 80% FURNACE ",3700,"","A 1 CHOICE HTG & A/C","AH:2202150940240362"
"CMIS22-00021","02/09/2022","02/09/2022","02/09/2022","","08/08/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10237 W 52ND PL 112","REPLACE 50 GAL 65K WATER HEATE...",5200,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2202090831410211"
"CMIS22-00019","02/07/2022","02/07/2022","02/07/2022","02/16/2022","","COMMMISC","PLUMBING","FINALED","LAKE ARBOR TOWNHOMES","8774 CHASE DR 35","WATER HEATER 40 GAL ",1967.12,"","STEADFAST PLUMBING INC","DRO:2202070455012611"
"CMIS22-00018","02/03/2022","02/07/2022","02/14/2022","","08/23/2022","COMMMISC","MECHANICAL","EXPIRED","ARBOR VILLAGE FILING NO. 1 FIN...","8700 WADSWORTH BLVD F","INSTALL 8 FIREPLACES AND 1 STO...",12000,"","LEHRER SERVICES LLC","AH:2202031118100476"
"CMIS22-00016","02/01/2022","02/01/2022","02/21/2022","06/27/2022","","COMMMISC","PLUMBING","FINALED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 303","50 GAL, 60K BTU WATER HEATER",4799,"","BROTHERS PLUMBING & HEATING IN...","AH:2202010256071547"
"CMIS22-00015","01/20/2022","01/20/2022","01/20/2022","","07/20/2022","COMMMISC","PLUMBING","EXPIRED","HOBBY GIANT MINOR SUBDIVISION","5545 WADSWORTH BLVD A","INTERIOR WATER LINES & DRAINS ...",4296,"","LAKEWOOD PLUMBING LLC","DRO:2201201043060690"
"CMIS22-00012","01/13/2022","01/13/2022","01/13/2022","","08/15/2022","COMMMISC","PLUMBING","EXPIRED","REPLATE OF FINAL PLAT OF ARVAD...","7885 BARBARA ANN DR B","Replace Elec Water Heater 50g ...",3146,"","APPLEWOOD PLMB, HTG & ELEC","AH:2201130923540546"
"CMIS22-00008","01/12/2022","01/12/2022","01/12/2022","01/25/2022","","COMMMISC","PLUMBING","FINALED","","10310 W 62ND PL","INSTALL 100 GAL 199K BTU WATER...",13378,"","BROOMHALL BROTHERS INC","DRO:2201121027120574"
"CMIS22-00009","01/12/2022","01/12/2022","01/13/2022","","07/12/2022","COMMMISC","MECHANICAL","EXPIRED","CUB SQUARE REPLAT","8075 SHERIDAN BLVD E","Replacing 3 RTUs - disconnect/...",17750,"","ULTIMATE HEATING AND COOLING","AH:2201121042380684"
"CMIS22-00010","01/12/2022","01/12/2022","01/14/2022","","07/13/2022","COMMMISC","PLUMBING","EXPIRED","BROOKVIEW SUBDIVISION","5985 YUKON ST","REPLACE EXISTING 45 GAL SIDE A...",6559,"","BLUE SKY PLUMBING/HTG","DRO:2201121130450863"
"CMIS22-00011","01/12/2022","01/12/2022","01/13/2022","01/24/2022","","COMMMISC","PLUMBING","FINALED","VILLAGE OF FIVE PARKS FILING N...","8349 FLORA ST A","WATER REPLACEMENT 40 GAL 40K",3077,"","APPLEWOOD PLMB, HTG & ELEC","AH:2201121145540920"
"CMIS22-00004","01/04/2022","01/06/2023","01/06/2023","","07/12/2023","COMMMISC","PLUMBING","EXPIRED","SHERIDAN PLAZA INDUSTRIAL PARK...","5783 SHERIDAN FRONTAGE RD D","INSTALL NEW GAS LINES FOR (2) ...",5600,"","ALL AMERICAN PLUMBING LLC","DRO:2201041130430791"
"CMIS22-00003","01/03/2022","01/03/2022","01/04/2022","","07/03/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10188 W 52ND PL 202","75 GALLON - 62K BTU GAS WATER ...",3200,"","QUALITY 1ST PLUMBING HEATING A...","AH:2201030440401274"
"CMIS21-00327","12/23/2021","12/23/2021","12/24/2021","","06/22/2022","COMMMISC","PLUMBING","EXPIRED","WESTDALE TOWNHOMES","7935 CHASE CIR 170","WATER HEATER 40 GAL",2657.7,"","A BETTER SEWER INSPECTION LLC","DRO:2112230216220804"
"CMIS21-00326","12/16/2021","12/16/2021","12/17/2021","","06/15/2022","COMMMISC","PLUMBING","EXPIRED","LAKE ARBOR TOWNHOMES","8654 CHASE DR 339","40 GAL WATER HEATER REPLACEMEN...",2750,"","BROTHERS PLUMBING & HEATING IN...","AH:2112130303201695"
"CMIS21-00324","12/06/2021","12/06/2021","12/15/2021","","04/15/2023","COMMMISC","MECHANICAL","EXPIRED","NORTHRIDGE SHOPPING CENTER","7899 WADSWORTH BLVD","REMOVE AND REPLACE 25 ROOF TOP...",140000,"","ARRIS INC","AH:2112060449232304"
"CMIS21-00321","12/02/2021","12/03/2021","12/03/2021","12/16/2021","","COMMMISC","PLUMBING","FINALED","LANDSDALE GARDENS","5555 W 56TH AVE","REMOVE AND REPLACE 100 GAL WAT...",13000,"","PIPECRAFT PLUMBING INC","DRO:2112021027451197"
"CMIS21-00322","12/02/2021","12/02/2021","12/16/2021","12/20/2021","","COMMMISC","PLUMBING","FINALED","SUNDSTRAND FLUID HANDLING COMP...","6701 INDIANA ST","INSTALL 100 GAL WATER HEATER 2...",15300,"","PIPECRAFT PLUMBING INC","DRO:2112021111011459"
"CMIS21-00323","12/02/2021","12/02/2021","12/16/2021","12/20/2021","","COMMMISC","PLUMBING","FINALED","SUNDSTRAND FLUID HANDLING COMP...","6701 INDIANA ST","INSTALL 100 GAL WATER HEATER G...",15100,"","PIPECRAFT PLUMBING INC","DRO:2112021113451498"
"CMIS21-00320","11/30/2021","12/01/2021","12/06/2021","12/22/2021","","COMMMISC","MECHANICAL","FINALED","B-TEN SYSTEMS MINOR PLAT","6833 JOYCE ST","REPLACING 2 ROOF-TOP UNITS LIK...",24468.36,"","LIFETIME CONSTRUCTION LLC","AH:2111300320432664"
"CMIS21-00319","11/24/2021","11/24/2021","11/29/2021","","05/28/2022","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7891 ALLISON WAY 102","REPLACED A 70,000 BTU FURNACE ...",11221,"","PUBLIC SERVICE OF CO","AH:2111240223551330"
"CMIS21-00294","11/05/2021","11/05/2021","11/06/2021","","05/14/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 104","50 GAL GAS WATER HEATER REPLAC...",6947,"","FIX-IT GROUP LLC","AH:2111050440321432"
"CMIS21-00297","11/05/2021","11/05/2021","11/06/2021","","05/17/2022","COMMMISC","MECHANICAL","EXPIRED","LAKE ARBOR TOWNHOMES","8754 CHASE DR 84","2 TON 3 SEER AC REPLACEMENT",7250,"","FIX-IT GROUP LLC","AH:2111050448501523"
"CMIS21-00292","11/02/2021","11/02/2021","11/03/2021","","05/02/2022","COMMMISC","PLUMBING","EXPIRED","LAKE ARBOR TOWNHOMES","8763 CHASE DR 188","40 GAL 36K BTU WATER HEATER RE...",1815.12,"","SQUEAKS SERVICES","AH:2111020444142555"
"CMIS21-00288","11/01/2021","11/01/2021","11/03/2021","","05/02/2022","COMMMISC","PLUMBING","EXPIRED","REPLATE OF FINAL PLAT OF ARVAD...","6005 YARROW ST H","WATER HEATER 50 GAL",1817.79,"","SQUEAKS SERVICES","DRO:2111010300591887"
"CMIS21-00287","10/29/2021","10/29/2021","11/03/2021","","05/02/2022","COMMMISC","PLUMBING","EXPIRED","COLUMBINE VILLAGE ON ALLISON M...","5320 ALLISON ST 204","WATER HEATER 50 GAL 36K BTU",3607,"","SQUEAKS SERVICES","DRO:2110290252101401"
"CMIS21-00282","10/22/2021","10/22/2021","10/25/2021","10/26/2021","","COMMMISC","PLUMBING","FINALED","","8470 W 52ND PL","replace 2 50 gal water heaters...",2400,"","JD PLUMBING & CONSTRUCTION","JSUK:211022043333064"
"CMIS21-00280","10/15/2021","10/15/2021","10/25/2021","","04/23/2022","COMMMISC","MECHANICAL","EXPIRED","CONDOMINIUM MAP FOR TIMBERCOVE...","8402 EVERETT WAY B","75K FURNACE AND 2 TON A/C REPL...",9500,"","BELL PLUMBING AND HEATING","AH:2110151210110895"
"CMIS21-00276","10/07/2021","10/07/2021","10/07/2021","10/22/2021","","COMMMISC","MECHANICAL","FINALED","CONDOMINIUM MAP FOR TIMBERCOVE...","8446 EVERETT WAY C","AIR CONDITIONER REPLACEMENT",5900,"","AUTHORITY BRANDS SERVICES RETA...","AH:2110070841160201"
"CMIS21-00273","10/06/2021","10/06/2021","10/06/2021","","04/04/2022","COMMMISC","PLUMBING","EXPIRED","CONDOMINIUM MAP FOR TIMBERCOVE...","8432 EVERETT WAY A","WATER HEATER 40 GAL LIKE FOR L...",2217.12,"","STEADFAST PLUMBING INC","DRO:2110060934390433"
"CMIS21-00275","10/06/2021","10/21/2021","10/25/2021","","04/23/2022","COMMMISC","MECHANICAL","EXPIRED","","5383 CARR ST 112","REMOVE AND REPLACE CONDENSING ...",4700,"","COPPER MECHANICAL LLC","DRO:2110061104250850"
"CMIS21-00271","10/04/2021","10/04/2021","10/04/2021","10/29/2021","","COMMMISC","MECHANICAL","FINALED","ARVADA WATER TOWER DISTRICT","5440 ALLISON ST 201","FURNACE REP 45K BTU, ELEC REHO...",4800,"","FIX-IT GROUP LLC","AH:2110040828370177"
"CMIS21-00270","09/30/2021","09/30/2021","10/01/2021","","04/18/2022","COMMMISC","MECHANICAL","EXPIRED","WESTDALE TOWNHOMES","7974 CHASE CIR 77","FURNACE AND AC REPLACEMENT",5000,"","JCH MECHANICAL SERVICES LLC","DRO:2109300412531492"
"CMIS21-00263","09/23/2021","09/23/2021","09/24/2021","10/15/2021","","COMMMISC","MECHANICAL","FINALED","POMONA LAKES FILING NO. 2","8300 POMONA DR","REPLACE EXISTING BOILER WITH  ...",34000,"","CLASSIC MECHANICAL INC","JSUK:210923015227654"
"CMIS21-00257","09/09/2021","09/09/2021","09/10/2021","","04/19/2022","COMMMISC","MECHANICAL","EXPIRED","REPLAT OF LAKE ARBOR VILLAGE A...","5580 W 80TH PL 39","FURANCE 60K 80% AND AC 2 TON 1...",10581,"","AAA SERVICE PLUMBING LLC","DRO:2109091032220675"
"CMIS21-00259","09/09/2021","09/09/2021","09/10/2021","09/21/2021","","COMMMISC","PLUMBING","FINALED","HOMETOWN NORTH","15547 W 66TH DR C","INSTALL 40GAL WATER HEATER",2095,"","COFFMAN & COMPANY HEATING AND ...","DRO:2109090352371624"
"CMIS21-00253","09/07/2021","09/07/2021","09/08/2021","","03/07/2022","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10068 W 52ND PL","REPLACE WATER HEATER 50 GAL 62...",2500,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2109071159221839"
"CMIS21-00251","08/27/2021","08/30/2021","08/31/2021","09/07/2021","","COMMMISC","PLUMBING","FINALED","LAKE ARBOR TOWNHOMES","8717 CHASE DR 231","50 GAL, 40K BTU WH REPLACEMENT",3840,"","APPLEWOOD PLMB, HTG & ELEC","AH:2108270407012708"
"CMIS21-00249","08/24/2021","08/24/2021","08/24/2021","","02/20/2022","COMMMISC","MECHANICAL","EXPIRED","THE YACHT CLUB","6790 SHERIDAN BLVD A","Replace 5 Ton AC and 135K, 80%...",12610,"","SERVICE EXPERTS","AH:2108240917580327"
"CMIS21-00243","08/10/2021","08/10/2021","08/10/2021","09/08/2021","03/07/2022","COMMMISC","MECHANICAL","FINALED","GRAFF MINOR SUBDIVISION","10734 W 63RD PL 302","REPLACE AC 2 TON 13 SEER",5800,"","ASPEN CREEK HEATING & AIR LLC","DRO:2108101039310815"
"CMIS21-00239","07/26/2021","07/26/2021","07/27/2021","","01/23/2022","COMMMISC","PLUMBING","EXPIRED","GRAFF MINOR SUBDIVISION","10784 W 63RD PL 301","REPLACE 40 GAL GAS WATER HEATE...",1780.49,"","STEADFAST PLUMBING INC","DRO:2107261233281445"
"CMIS21-00231","07/15/2021","07/15/2021","07/15/2021","08/16/2021","","COMMMISC","MECHANICAL","FINALED","THE YACHT CLUB","6870 ZENOBIA CIR 2","FURNACE  80% 60KBTU AND AC 18K...",3511,"","AAARK HEATING & AIR INC","DRO:2107151259540967"
"CMIS21-00232","07/15/2021","07/15/2021","07/15/2021","07/29/2021","","COMMMISC","PLUMBING","FINALED","THE YACHT CLUB","6870 ZENOBIA CIR 2","WATER HEATER 40 GAL 40K BTU",1353,"","AAARK HEATING & AIR INC","DRO:2107150104321008"
"CMIS21-00227","07/06/2021","07/07/2021","07/07/2021","07/09/2021","","COMMMISC","PLUMBING","FINALED","","7555 WADSWORTH BLVD","REPLACING 300 GALLON LIFT STAT...",13000,"","APEX PLUMBING INC","DRO:2107060426452261"
"CMIS21-00226","06/30/2021","06/30/2021","07/06/2021","08/31/2021","","COMMMISC","MECHANICAL","FINALED","WESTDALE TOWNHOMES","7999 CHASE CIR 30","REPLACED 70,000 BTU FURNACE & ...",8300,"","PUBLIC SERVICE OF CO","AH:2106300429061978"
"CMIS21-00225","06/28/2021","06/28/2021","06/30/2021","10/25/2022","","COMMMISC","MECHANICAL","FINALED","ARVADA RIDGE","5145 KIPLING ST","#3-10 TON AND #5-5 TON RTU's  ...",24899.8,"","ALPINE REFRIGERATION INC","DRO:2106280225251834"
"CMIS21-00223","06/25/2021","06/25/2021","06/25/2021","","12/22/2021","COMMMISC","MECHANICAL","EXPIRED","","5200 WADSWORTH BYP","12.5 TON ROOFTOP A/C - NEW ELE...",17219,"","BLUE SKY PLUMBING/HTG","AH:2106251130040868"
"CMIS21-00222","06/24/2021","06/24/2021","06/25/2021","07/15/2021","","COMMMISC","MECHANICAL","FINALED","LAKE ARBOR TOWNHOMES","6952 W 87TH WAY 259","REPLACE AC 2 TON 13 SEER",5848,"","STEELE BROS HEATING INC","DRO:2106240503192115"
"CMIS21-00220","06/21/2021","06/21/2021","06/21/2021","06/25/2021","","COMMMISC","MECHANICAL","FINALED","MAPLELEAF SUBDIVISION FILING N...","7080 SIMMS ST 106","2.5 A/C REPLACEMENT - DISCONNE...",7000,"","BROTHERS PLUMBING & HEATING IN...","AH:2106211142511123"
"CMIS21-00219","06/16/2021","06/16/2021","06/16/2021","","12/15/2021","COMMMISC","PLUMBING","EXPIRED","LAKE ARBOR TOWNHOMES","8767 CHASE DR 198","40 GAL WATER HEATER REPLACEMEN...",6559,"","FIX-IT GROUP LLC","AH:2106161018480733"
"CMIS21-00218","06/15/2021","06/15/2021","06/15/2021","","12/12/2021","COMMMISC","MECHANICAL","EXPIRED","TWIN CREEK HOMES","11575 W 70TH PL G","FURNACE 80K 80% LIKE FOR LIKE",4500,"","BROTHERS PLUMBING & HEATING IN...","DRO:2106150852520312"
"CMIS21-00216","06/10/2021","06/10/2021","06/10/2021","06/28/2021","","COMMMISC","PLUMBING","FINALED","GRAFF MINOR SUBDIVISION","10734 W 63RD PL 305","40 GAL WATER HEATER REPLACEMEN...",1500,"","BUMBLEBEE PLUMBING INC","AH:2106101245081094"
"CMIS21-00214","06/07/2021","06/07/2021","06/07/2021","","01/05/2022","COMMMISC","PLUMBING","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7881 ALLISON WAY 201","ONE WATER HEATER REPLACEMENT 4...",900,"","PROSPECT PLUMBING LLC","AH:2106071231331037"
