"Permit Number","Applied","Approved","Issued Date","Finaled","Expired","Permit Type","Permit Sub Type","Status","Subdivision","Address","Description","Job Value","CO Issued Date","Contractor Name","RECORDID"
"BKFL22-00004","10/11/2022","10/11/2022","10/12/2022","","04/10/2023","BACKFLOW DEVICE","RESIDENTIAL","EXPIRED","RALSTON HILLS FIFTH FILING","11308 W 59TH PL","Backflow device for lawn sprin...","300","","Salvador Montes","MR:2210110942290428"
"CMIS22-00207","10/07/2022","10/10/2022","10/18/2022","11/02/2022","","COMMMISC","PLUMBING","FINALED","THE OAKS CONDOMINIUMS","8467 EVERETT WAY E","Install of expansion tank/port...","300","","KEATING PIPEWORKS INC","ECON:221007084042366"
"CMIS22-00208","10/07/2022","10/07/2022","10/07/2022","10/13/2022","","COMMERCIAL ELECTRICAL","CONSTRUCTION METER","FINALED","VANCE STREET FLATS","5854 VANCE ST","","1000","","SFL ELECTRIC, INC","ECON:221007103022155"
"CMIS22-00203","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6350 UNION ST","Converting owners wood burning...","3000","","THE GAS CONNECTION INC","DRO:2210050334351232"
"CMIS22-00204","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6348 UNION ST","Converting owners wood burning...","3000","","THE GAS CONNECTION INC","DRO:2210050338181255"
"CMIS22-00205","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6352 UNION ST","Converting owners wood burning...","3000","","THE GAS CONNECTION INC","DRO:2210050339261276"
"CMIS22-00206","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6354 UNION ST","Converting owners wood burning...","3000","","THE GAS CONNECTION INC","DRO:2210050340111292"
"CMIS22-00201","10/04/2022","10/04/2022","10/05/2022","","04/03/2023","COMMMISC","PLUMBING","EXPIRED","RALSTON SQUARE SHOPPING CENTER...","12312 W 64TH AVE","REPLACE WATER HEATER WITH 75 G...","4500","","BLUE SKY PLUMBING","AH:2210040248550866"
"CMIS22-00200","09/29/2022","09/29/2022","09/29/2022","","03/28/2023","COMMMISC","MECHANICAL","EXPIRED","LUNA MINOR SUBDIVISION","6315 SHERIDAN BLVD","Replace RTU like for like","10000","","JACK MICEK HEATING & COOLING","ECON:220929074332080"
"CMIS22-00197","09/23/2022","09/23/2022","09/26/2022","10/19/2022","","COMMMISC","MECHANICAL","FINALED","ARVADA WATER TOWER DISTRICT","5424 ZEPHYR ST 203","REPLACE AC WITH 2 TON 13 SEER ","7158","","COOPER HEATING & COOLING INC","DRO:2209230321030975"
"CMIS22-00199","09/23/2022","09/23/2022","09/26/2022","11/16/2022","","COMMMISC","MECHANICAL","FINALED","THE GRACE PLACE","10785 W 63RD PL 108","REPLACE FURNACE 50K BTU 80%","4000","","WN, LLC DBA WIRENUT HOME SERVI...","DRO:2209230410411168"
"ADU22-00016","09/19/2022","11/10/2022","11/10/2022","11/11/2022","","ADU","A","FINALED","MAP OF BURTON and CHINNS RESUB...","5617 AMMONS ST B","ADU IN EXISTING GARAGE- CONVER...","2500","","WEST METRO PROPERTY SOLUTIONS","DRO:2209190422391367"
"CMIS22-00195","09/19/2022","09/19/2022","09/20/2022","","03/19/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10117 W 52ND PL 302","48G, 65K WATER HEATER","3286.21","","QUALITY 1ST PLUMBING HEATING A...","AH:2209190931030402"
"CMIS22-00192","09/08/2022","09/09/2022","10/07/2022","","04/05/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","RALSTON BUSINESS PARK SUBDIVIS...","5525 W 56TH AVE 200","Add (3) 20 amp 120 volt exteri...","1700","","PIPER ELECTRIC CO INC","ECON:220908102819326"
"CMIS22-00193","09/08/2022","01/26/2023","02/27/2023","08/01/2023","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","LANDSDALE GARDENS","5901 SHERIDAN BLVD","Electric Vehicle Charging Stat...","154952.68","","G&H ELECTRIC CO","ECON:220908033310168"
"CMIS22-00191","09/06/2022","09/23/2022","09/26/2022","11/01/2022","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","","11210 W 72ND AVE","Comcast Power Supply - NEW SER...","850","","RAYO ELECTRIC INC","ECON:220906023804742"
"CMIS22-00189","09/02/2022","09/02/2022","09/02/2022","","03/01/2023","COMMMISC","PLUMBING","EXPIRED","CONDOMINIUM MAP FOR TIMBERCOVE...","8448 EVERETT WAY B","Replace existing water heater ...","2000","","LAKEWOOD PLUMBING LLC","DRO:2209020835090163"
"CMIS22-00190","09/02/2022","09/02/2022","09/02/2022","","03/03/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","WHISPER VILLAGE COMMERCIAL","9025 HOWELL ST","Add (2) -100 amp panels - for ...","150000","","ARENS ELECTRIC INC","ECON:220902102418301"
"CMIS22-00188","09/01/2022","09/02/2022","09/06/2022","08/16/2023","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","","16091 W 84TH DR","Outdoor lights, GFCI","4000","","S STAR ELECTRIC","ECON:220901085057184"
"CMIS22-00187","08/31/2022","09/14/2022","09/29/2022","","03/28/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","ARVADA PLAZA FILING NO. 2","9400 RALSTON RD","50A EV Circuit","6000","","ALLSTAR ELEC SERVICES LLC","ECON:220831095746196"
"CMIS22-00186","08/26/2022","09/01/2022","09/01/2022","","07/31/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","ARVADA PLAZA","9590 W 58TH AVE","Replace existing 400 amp servi...","42000","","CHANGE ELECTRIC","ECON:220826092550177"
"CMIS22-00183","08/25/2022","08/25/2022","09/15/2022","12/30/2022","","COMMMISC","PLUMBING","FINALED","ARVADA WATER TOWER DISTRICT","5425 ZEPHYR ST 203","INSTALL 40 GAL GAS WATER HEATE...","2822","","AAA SERVICE PLUMBING LLC","AH:2208251033450311"
"CMIS22-00184","08/25/2022","08/25/2022","09/01/2022","10/04/2022","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","REPLAT OF LAKE ARBOR VILLAGE A...","5550 W 80TH PL 13","INSTALL 125A INDOOR MAIN BREAK...","893","","SJO ELECTRIC LLC","AH:2208250216430867"
"CMIS22-00182","08/23/2022","10/06/2022","10/06/2022","","04/12/2023","COMMERCIAL MECHANICAL","GAS SERVICE","EXPIRED","ARVADA WEST TOWN CENTER SECOND...","14455 W 64TH AVE G","Heater Installations","41465","","CLIMATE ENGINEERING","ECON:220823084527099"
"CMIS22-00181","08/22/2022","08/23/2022","08/23/2022","08/26/2022","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","","8590 KIPLING ST","METER FOR NEW TRAFFIC SIGNAL","2100","","STURGEON ELECTRIC COMPANY INC","AH:2208220401171531"
"CMIS22-00179","08/18/2022","08/19/2022","08/22/2022","","03/08/2023","COMMMISC","MECHANICAL","EXPIRED","","6820 W 66TH AVE","Boiler Install","30500","","TORREYS PEAK MECHANICAL INC","ECON:220818075442335"
"CMIS22-00178","08/17/2022","08/18/2022","09/08/2022","","03/07/2023","COMMMISC","MECHANICAL","EXPIRED","WOODLAND HILLS","6420 WARD RD","Install 2 4 ton RTU & ducts","24586","","GO GREEN HEATING & A/C","ECON:220817080447029"
"CMIS22-00177","08/16/2022","08/17/2022","08/22/2022","","09/13/2023","COMMMISC","MECHANICAL","EXPIRED","WESTWOODS SHOPPING CENTER FILI...","15400 W 64TH AVE E7","Replace 1 existing Trane 7.5-t...","13875","","CONDITIONED AIR CORP","ECON:220816012625074"
"CMIS22-00175","08/12/2022","08/12/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7899 ALLISON WAY 204","REPLACE 80%, 60 BTU FURNANCE, ...","10750","","TICO HVAC LLC","AH:2208120813270136"
"CMIS22-00174","08/10/2022","08/15/2022","08/15/2022","","11/06/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","THE MEADOWS CENTRE A PLANNED U...","8270 W 80TH AVE 14","Revive Church - Under One Roof...","406125","","ALL TECH ELECTRIC, INC","ECON:220810022315235"
"CMIS22-00172","08/09/2022","08/09/2022","08/10/2022","","02/14/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7889 ALLISON WAY 301","FURNACE RHEEM SINGLE STAGE ","2500","","WATERWORKS PLUMBING & HEATING","DRO:2208090136291326"
"CMIS22-00173","08/09/2022","08/09/2022","08/26/2022","","02/22/2023","COMMMISC","PLUMBING","EXPIRED","THE GRACE PLACE AMENDED FILING...","6350 OAK ST 102","Install 40 gallon gas 36,000 b...","2244.85","","SQUEAKS SERVICES","JSUK:220809041558890"
"CMIS22-00167","08/08/2022","08/08/2022","08/08/2022","","05/15/2023","COMMMISC","PLUMBING","EXPIRED","NORTHRIDGE SHOPPING CENTER - S...","7947 WADSWORTH BLVD"," INSTALL 50 GAL, 208 VOLT, 3 P...","10399","","BROTHERS PLUMBING & HEATING IN...","AH:2208080843200166"
"CMIS22-00168","08/08/2022","08/08/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 211","REPLACED 13 SEER A/C UNIT","5638","","QUALITY 1ST PLUMBING HEATING A...","AH:2208080855230239"
"CMIS22-00169","08/08/2022","08/08/2022","08/16/2022","","02/12/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 111","REPLACED 13 SEER, 2 TON A/C UN...","5862","","QUALITY 1ST PLUMBING HEATING A...","AH:2208080904510293"
"CMIS22-00170","08/08/2022","08/08/2022","08/10/2022","","02/06/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10268 W 52ND PL 209","REPLACE 48 GAL, 65K BTU WATER ...","2650","","QUALITY 1ST PLUMBING HEATING A...","AH:2208080909230321"
"CMIS22-00165","08/03/2022","08/04/2022","08/04/2022","09/29/2022","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","CIMARRON PARK MINOR SUBDIVISIO...","14967 CANDELAS PKWY","Install power pole for actuati...","1638.75","","WINTERHAWK ELECTRIC","ECON:220803082241364"
"CMIS22-00166","08/03/2022","08/03/2022","08/12/2022","11/30/2022","","COMMMISC","PLUMBING","FINALED","SKYLINE ESTATES FILING NO. 1 -...","5534 LEWIS ST 206","REPLACE 55 GAL GAS WATER HEATE...","3313.5","","DOCTOR FIX-IT HTG, COOLING & E...","AH:2208030332121509"
"CMIS22-00163","08/02/2022","08/02/2022","08/02/2022","08/03/2022","","COMMMISC","PLUMBING","FINALED","CUB SQUARE","8055 SHERIDAN BLVD","REPLACE LIKE FOR LIKE WATER HE...","24780.18","","KRAUS & COMPANY JETTING INC","DRO:2208021239150814"
"CMIS22-00164","08/02/2022","08/02/2022","08/12/2022","","02/08/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10188 W 52ND PL 203","REMOVE AND REPLACE WATER HEATE...","2301.89","","QUALITY 1ST PLUMBING HEATING A...","DRO:2208020158381086"
"CMIS22-00161","08/01/2022","08/05/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10338 W 52ND PL 101","REMOVE AND REPLACE AC  2TON 13...","2301.89","","QUALITY 1ST PLUMBING HEATING A...","DRO:2208010132551096"
"CMIS22-00162","08/01/2022","08/02/2022","04/11/2023","","10/30/2023","COMMMISC","MECHANICAL","ISSUED","ARVADA VILLAGE CENTER SUBDIVIS...","5804 WARD RD","Replacing (2) existing RTU's","24000","","VECTRA MECHANICAL","ECON:220801020048853"
"CMIS22-00160","07/28/2022","08/04/2022","08/05/2022","08/10/2022","","COMMMISC","PLUMBING","FINALED","WILD GRASS COMMERCIAL FILING N...","8790 INDIANA ST","REPLACEMENT OF 50 GAL ELECTRIC...","3509.16","","BLAIR FACILITY MAINTENANCE","DRO:2207280937590403"
"CMIS22-00154","07/26/2022","07/28/2022","09/02/2022","","03/01/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","11496 W 53RD PL","Install one pole light from ex...","2200","","PROSYSTEMS PROFESSIONAL ELEC S...","ECON:220726122542603"
"CMIS22-00155","07/26/2022","07/28/2022","09/02/2022","","03/01/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","","11416 W 53RD PL","Install pole lights from exist...","19800","","PROSYSTEMS PROFESSIONAL ELEC S...","ECON:220726123308271"
"CMIS22-00156","07/26/2022","07/28/2022","09/02/2022","","03/01/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","","11316 W 53RD PL","Install one pole light from ex...","2200","","PROSYSTEMS PROFESSIONAL ELEC S...","ECON:220726124001264"
"CMIS22-00157","07/26/2022","07/28/2022","09/02/2022","","03/01/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","","11294 W 54TH DR","Install pole lights from exist...","17600","","PROSYSTEMS PROFESSIONAL ELEC S...","ECON:220726124431488"
"CMIS22-00158","07/26/2022","07/28/2022","09/02/2022","","03/01/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","","5330 QUAIL WAY","Install one pole light from ex...","2000","","PROSYSTEMS PROFESSIONAL ELEC S...","ECON:220726124840162"
"CMIS22-00159","07/26/2022","07/28/2022","09/02/2022","","03/01/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","","5203 QUEEN CT","Install pole lights from exist...","15400","","PROSYSTEMS PROFESSIONAL ELEC S...","ECON:220726125418190"
"CMIS22-00134","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 1","RTU","4000","","PLANET ROOFING & SOLAR","ECON:220722080326350"
"CMIS22-00135","07/22/2022","12/02/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 11","3 TON - RTU","4000","","PLANET ROOFING & SOLAR","ECON:220722081141215"
"CMIS22-00136","07/22/2022","12/02/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 12","RTU 3 TON REPLACEMENT","4000","","PLANET ROOFING & SOLAR","ECON:220722081439417"
"CMIS22-00137","07/22/2022","11/28/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 13","RTU 3 TON REPLACEMENT","4000","","PLANET ROOFING & SOLAR","ECON:220722083726202"
"CMIS22-00138","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 14","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722084447703"
"CMIS22-00139","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 2","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722085001129"
"CMIS22-00140","07/22/2022","12/02/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 3","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722085228299"
"CMIS22-00141","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 4","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722093840753"
"CMIS22-00142","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 5","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722094411181"
"CMIS22-00143","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 6","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722103915560"
"CMIS22-00144","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 7","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722104154742"
"CMIS22-00145","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 7","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722115319260"
"CMIS22-00146","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722115759575"
"CMIS22-00147","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 11","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722120903446"
"CMIS22-00148","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 11","RTU 4 TON REPLACEMENT LIKE FOR...","5000","","PLANET ROOFING & SOLAR","ECON:220722121120602"
"CMIS22-00149","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 12","RTU 7.5 TON REPLACEMENT LIKE F...","6000","","PLANET ROOFING & SOLAR","ECON:220722121546888"
"CMIS22-00150","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 13","RTU 7.5 TON REPLACEMENT LIKE F...","6000","","PLANET ROOFING & SOLAR","ECON:220722121913209"
"CMIS22-00151","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 14","RTU 5 TON REPLACEMENT LIKE FOR...","5500","","PLANET ROOFING & SOLAR","ECON:220722122123355"
"CMIS22-00152","07/22/2022","07/22/2022","07/25/2022","","01/29/2023","COMMMISC","MECHANICAL","EXPIRED","LAKE ARBOR TOWNHOMES","6936 W 87TH WAY 250","install 2 ton ac with air hand...","9622","","COFFMAN & COMPANY HEATING AND ...","JSUK:220722124322782"
"CMIS22-00153","07/22/2022","07/22/2022","07/26/2022","","01/22/2023","COMMMISC","MECHANICAL","EXPIRED","FOUR ACRE LAKE","9159 W 50TH LN 203","REPLACE FURNACE AND AC","11250","","SWAN HEATING & AIR OF DENVER","JSUK:220722011125844"
"CMIS22-00132","07/21/2022","07/22/2022","08/01/2022","","01/28/2023","COMMMISC","PLUMBING","EXPIRED","CUB SQUARE SECOND REPLAT","5225 W 80TH AVE A","Water Heater Swap","16500","","A BETTER SEWER INSPECTION LLC","ECON:220721123631587"
"CMIS22-00130","07/20/2022","07/20/2022","07/20/2022","","01/16/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 207","1.5 TON 13 SEER A/C, 40K , 80%...","5500","","COPPER MECHANICAL LLC","AH:2207200856520349"
"CMIS22-00131","07/20/2022","07/20/2022","07/30/2022","","01/26/2023","COMMMISC","MECHANICAL","EXPIRED","SKYLINE ESTATES FILING NO. 1 -...","5537 LEWIS CT 004","HOT WATER FAN COIL AND CONDENS...","10289","","AAA SERVICE PLUMBING LLC","JSUK:220720032450323"
"CMIS22-00128","07/15/2022","07/15/2022","07/20/2022","","01/16/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 204","1.5T, 13 SEER A/C AND 40K, 80%...","5500","","COPPER MECHANICAL LLC","AH:2207150953360225"
"CMIS22-00127","07/14/2022","07/14/2022","07/14/2022","12/27/2022","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","SKYLINE ESTATES CONDOS BLDG S ...","10290 W 55TH LN 105","ELEC CONNECTIONS FOR INSTALL O...","721","","BLUE SKY PLUMBING","AH:2207140843400204"
"CMIS22-00125","07/13/2022","07/13/2022","07/13/2022","08/01/2022","","COMMMISC","PLUMBING","FINALED","THE GRACE PLACE AMENDED FILING...","6350 OAK ST 304","INSTALL 40 GAL WATER HEATER","2346","","COFFMAN & COMPANY HEATING AND ...","AH:2207131040040677"
"CMIS22-00126","07/13/2022","07/13/2022","07/13/2022","","01/09/2023","COMMMISC","PLUMBING","EXPIRED","CONDOMINIUM MAP FOR TIMBERCOVE...","8456 EVERETT WAY E","INSTALL 40 GAL, 40K BTU WATER ...","3922","","APPLEWOOD PLMB, HTG & ELEC","AH:2207131051060725"
"ADU22-00011","07/11/2022","02/13/2023","11/15/2022","08/14/2023","","ADU","B","CO ISSUED","64th HEIGHTS","6373 MARSHALL ST B","Residential ADU Addition - ATT...","100000","08/14/2023","James DeMattee","DRO:2207111007340468"
"ADU22-00012","07/11/2022","08/05/2022","08/11/2022","","10/11/2023","ADU","B","ISSUED","SCARLETT PEARLS SUBDIVISION","6493 EVERETT ST","ADU located in basement of thi...","1600","","G.L. CUSTOM BUILDERS INC","ECON:220711113739100"
"CMIS22-00124","07/11/2022","07/11/2022","07/11/2022","","04/16/2023","COMMMISC","MECHANICAL","EXPIRED","GRAFF MINOR SUBDIVISION","10734 W 63RD PL 205","REPLACE 60 BTUM 80%, 2 TON A/C","6000","","MAC VIK PLUMBING & HEATING","AH:2207110844440195"
"CMIS22-00123","07/06/2022","07/07/2022","07/14/2022","","01/10/2023","COMMMISC","MECHANICAL","EXPIRED","PARK CENTER/CANNON MINOR PLAT","8795 RALSTON RD","Replacing 7.5ton RTU for Unit#...","20000","","RYCO ENTERPRISES LLC","ECON:220706123702172"
"CMIS22-00119","07/01/2022","07/01/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10268 W 52ND PL 204","2.5 TON AIR CONDITIONER AND FI...","8620","","QUALITY 1ST PLUMBING HEATING A...","AH:2207010817020084"
"CMIS22-00120","07/01/2022","11/11/2022","07/06/2022","","05/30/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","SHERIDAN 58/SHREVES MINOR SUBD...","5055 W 58TH AVE","Provide power for new machiner...","50000","","PIPER ELECTRIC CO INC","ECON:220701094414387"
"CMIS22-00121","07/01/2022","07/01/2022","07/01/2022","","02/15/2023","COMMMISC","MECHANICAL","EXPIRED","OGILVIE SUBDIVISION","5801 BALSAM PL","REPLACEMENT EVAPORATIVE COOLER","7000","","SANCHEZ ARTHUR","DRO:2207011219590682"
"CMIS22-00118","06/29/2022","08/05/2022","08/08/2022","","02/04/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","11210 W 72ND AVE","POWER SUPPLY ADDRESS REQUEST/C...","900","","Casey Judish","AH:2206291012490438"
"CMIS22-00117","06/24/2022","06/24/2022","08/15/2022","","02/21/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","EXPIRED","","8348 HOLMAN ST","NEW 200 AMP SERVICE FOR UNIT L...","1000","","ROBERTS ELECTRICAL CONTRACTING","DRO:2206240942150342"
"CMIS22-00116","06/23/2022","06/24/2022","06/27/2022","","12/24/2022","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","EXPIRED","PLAZA-SIX-FOUR","6390 WADSWORTH BLVD B","FIRE DEPT REQ'D EXIT SIGN ILLU...","300","","NO LIMIT ELECTRIC LLC","AH:2206231200300788"
"CMIS22-00112","06/22/2022","06/23/2022","06/23/2022","10/28/2022","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","SPRINGWOOD-NIGHTINGALE MINOR S...","6550 YANK WAY 247","New electrical circuit for air...","1395","","BLUE SKY PLUMBING","ECON:220622091000564"
"CMIS22-00114","06/22/2022","06/22/2022","06/22/2022","06/23/2022","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","SAYERS SUBDIVISION","5350 EVERETT ST","120v 20a circuit","7000","","PIPER ELECTRIC CO INC","ECON:220622124834213"
"CMIS22-00115","06/22/2022","06/22/2022","06/22/2022","06/23/2022","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","SAYERS SUBDIVISION","5360 EVERETT ST","120v 20a circuit","7000","","PIPER ELECTRIC CO INC","ECON:220622125127278"
"CMIS22-00109","06/17/2022","06/22/2022","06/22/2022","06/30/2022","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","CANDELAS FILING NO. 1","17002 W 94TH AVE","Repair secondary from Xcel ped...","800","","NATURAL PROGRESSION","ECON:220617073910663"
"CMIS22-00110","06/17/2022","06/17/2022","06/27/2022","07/01/2022","","COMMMISC","PLUMBING","FINALED","SHOPS ON WADSWORTH SUBDIVISION","6620 WADSWORTH BLVD","SET UP CONTAINMENT AND JACK HA...","2500","","SAFE INVESTMENT SEWER & DRAIN","DRO:2206170410131380"
"CMIS22-00108","06/15/2022","06/15/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10298 W 52ND PL 201","REPALCE 13 SEER , 2 TON A/C","4684","","QUALITY 1ST PLUMBING HEATING A...","AH:2206150133590838"
"BIDR22-00006","06/14/2022","06/14/2022","06/15/2022","","12/12/2022","TEST","","EXPIRED","RALSTON HILLS FIFTH FILING","11309 W 59TH PL","TEST","0","","BLUE SKY PLUMBING","JSUK:220614035938958"
"CHG22-00002","06/13/2022","06/14/2022","06/14/2022","06/14/2022","","CHANGE OF USE","","CO ISSUED","","12330 W 58TH AVE 1","FLOWER SHOP TO COFFEE TO GO SH...","0","","","AH:2206130335541496"
"CMIS22-00107","06/13/2022","08/05/2022","08/05/2022","08/08/2022","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","","11370 W 54TH DR","POWER SUPPLY ADDRESS REQUEST/C...","900","","Casey Judish","AH:2206130422251617"
